id,partner,order_datetime,item,category,unit_price,quantity,sales
1196,Bullseye,2020-09-27 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,50,745.5
1197,Doormart,2020-04-06 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
1198,Nile.com,2021-04-27 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1199,Priceco,2021-07-26 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1200,Walblues,2019-06-22 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1201,J-Mart,2021-10-08 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1202,Bullseye,2019-11-26 08:00:00 UTC,Typewriter,Odd Equipment,63.19,10,631.9
1203,Doormart,2021-03-14 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1204,Nile.com,2021-02-06 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1205,Priceco,2020-08-27 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
1206,Walblues,2020-01-17 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1207,J-Mart,2020-09-26 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1208,Bullseye,2019-08-27 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1209,Doormart,2019-07-11 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
1210,Nile.com,2021-04-19 08:00:00 UTC,Microscope,Odd Equipment,102.24,200,20448
1211,Priceco,2020-04-18 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1212,Walblues,2020-03-16 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1213,J-Mart,2021-05-07 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
1214,Bullseye,2021-11-10 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1215,Doormart,2019-11-22 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1216,Nile.com,2019-12-29 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
1217,Priceco,2020-12-02 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
1218,Walblues,2021-02-10 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
1219,J-Mart,2019-02-05 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
1220,Bullseye,2021-01-09 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
1221,Doormart,2020-12-16 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1222,Nile.com,2021-04-07 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1223,Priceco,2021-07-13 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1224,Walblues,2021-06-15 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,50,3159.5
1225,J-Mart,2021-06-06 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1226,Bullseye,2020-07-03 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1227,Doormart,2021-06-02 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
1228,Nile.com,2021-12-18 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,200,12638
1229,Priceco,2021-08-25 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1230,Walblues,2021-04-13 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1231,J-Mart,2020-06-10 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
1232,Bullseye,2019-04-14 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1233,Doormart,2020-07-08 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1234,Nile.com,2020-10-25 08:00:00 UTC,Microscope,Odd Equipment,102.24,10,1022.4
1235,Priceco,2019-04-29 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1236,Walblues,2020-05-01 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
1237,J-Mart,2020-01-07 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1238,Bullseye,2020-02-29 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
1239,Doormart,2020-04-25 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,50,745.5
1240,Nile.com,2021-05-18 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
1241,Priceco,2020-02-07 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1242,Walblues,2020-12-29 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1243,J-Mart,2020-09-25 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
1244,Bullseye,2020-04-26 08:00:00 UTC,Microscope,Odd Equipment,102.24,200,20448
1245,Doormart,2021-10-24 08:00:00 UTC,Typewriter,Odd Equipment,63.19,200,12638
1246,Nile.com,2019-02-06 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
1247,Priceco,2020-08-22 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1248,Walblues,2020-01-17 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
1249,J-Mart,2021-05-01 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,200,2982
1250,Bullseye,2020-01-02 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
1251,Doormart,2019-12-02 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1252,Nile.com,2020-08-07 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1253,Priceco,2020-07-27 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1254,Walblues,2021-05-23 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1255,J-Mart,2019-05-29 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,10,631.9
1256,Bullseye,2021-11-01 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
1257,Doormart,2021-07-02 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,200,2982
1258,Nile.com,2020-09-16 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
1259,Priceco,2021-04-23 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1260,Walblues,2021-05-17 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
1261,J-Mart,2021-04-27 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,50,3159.5
1262,Bullseye,2020-10-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1263,Doormart,2020-02-14 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
1264,Nile.com,2019-08-13 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
1265,Priceco,2019-11-16 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
1266,Walblues,2021-06-10 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1267,J-Mart,2019-10-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1268,Bullseye,2019-07-29 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
1269,Doormart,2020-03-16 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1270,Nile.com,2019-12-27 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
1271,Priceco,2021-11-28 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1272,Walblues,2021-04-17 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1273,J-Mart,2021-09-19 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1274,Bullseye,2020-06-15 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,100,6319
1275,Doormart,2020-05-02 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
1276,Nile.com,2019-03-29 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
1277,Priceco,2019-08-23 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,100,6319
1278,Walblues,2021-10-24 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1279,J-Mart,2020-07-26 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,100,1491
1280,Bullseye,2021-08-26 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
1281,Doormart,2020-07-01 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
1282,Nile.com,2020-04-24 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
1283,Priceco,2021-04-08 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1284,Walblues,2021-01-24 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1285,J-Mart,2021-11-22 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
1286,Bullseye,2019-11-02 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1287,Doormart,2020-12-15 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1288,Nile.com,2021-08-20 08:00:00 UTC,Typewriter,Odd Equipment,63.19,10,631.9
1289,Priceco,2019-04-21 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1290,Walblues,2019-07-27 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1291,J-Mart,2019-05-31 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
1292,Bullseye,2020-12-30 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1293,Doormart,2021-12-28 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1294,Nile.com,2021-11-28 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
1295,Priceco,2021-05-13 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1296,Walblues,2020-05-03 08:00:00 UTC,Microscope,Odd Equipment,102.24,50,5112
1297,J-Mart,2021-06-26 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
1298,Bullseye,2021-11-28 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
1299,Doormart,2021-11-28 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,200,710
1300,Nile.com,2021-10-29 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1301,Priceco,2021-06-17 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,100,1491
1302,Walblues,2021-10-30 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
1303,J-Mart,2021-02-16 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
1304,Bullseye,2020-07-04 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1305,Doormart,2019-08-23 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
1306,Nile.com,2020-12-09 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1307,Priceco,2019-11-13 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1308,Walblues,2020-11-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1309,J-Mart,2020-12-31 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
1310,Bullseye,2020-06-30 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,50,461.5
1311,Doormart,2020-09-25 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
1312,Nile.com,2019-06-04 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
1313,Priceco,2021-12-18 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1314,Walblues,2020-05-05 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
1315,J-Mart,2019-09-04 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
1316,Bullseye,2020-03-17 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,50,461.5
1317,Doormart,2021-08-05 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1318,Nile.com,2019-09-30 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1319,Priceco,2020-07-24 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1320,Walblues,2021-09-15 08:00:00 UTC,Typewriter,Odd Equipment,63.19,50,3159.5
1321,J-Mart,2019-10-06 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1322,Bullseye,2019-03-09 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1323,Doormart,2021-11-08 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
1324,Nile.com,2020-02-06 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
1325,Priceco,2021-01-01 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1326,Walblues,2021-11-23 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1327,J-Mart,2020-04-11 08:00:00 UTC,Microscope,Odd Equipment,102.24,50,5112
1328,Bullseye,2019-09-09 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
1329,Doormart,2019-02-23 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1330,Nile.com,2020-09-01 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1331,Priceco,2019-07-24 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1332,Walblues,2020-01-01 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1333,J-Mart,2019-08-05 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,10,631.9
1334,Bullseye,2019-05-26 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1335,Doormart,2021-08-23 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1336,Nile.com,2021-09-17 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
1337,Priceco,2021-07-01 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
1338,Walblues,2021-12-16 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1339,J-Mart,2021-07-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1340,Bullseye,2021-07-25 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1341,Doormart,2020-12-27 08:00:00 UTC,Typewriter,Odd Equipment,63.19,200,12638
1342,Nile.com,2021-05-15 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,10,631.9
1343,Priceco,2021-11-23 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1344,Walblues,2021-05-31 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1345,J-Mart,2021-08-01 08:00:00 UTC,Microscope,Odd Equipment,102.24,10,1022.4
1346,Bullseye,2021-11-30 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1347,Doormart,2021-05-09 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
1348,Nile.com,2020-05-04 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
1349,Priceco,2021-07-07 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,100,355
1350,Walblues,2020-09-14 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1351,J-Mart,2021-09-05 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,50,1207
1352,Bullseye,2019-05-14 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,50,461.5
1353,Doormart,2020-08-13 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
1354,Nile.com,2021-12-21 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,10,149.1
1355,Priceco,2019-11-06 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
1356,Walblues,2020-01-06 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
1357,J-Mart,2019-04-21 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1358,Bullseye,2021-10-13 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,50,745.5
1359,Doormart,2019-06-19 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,100,355
1360,Nile.com,2021-02-10 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
1361,Priceco,2019-06-07 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1362,Walblues,2019-02-24 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1363,J-Mart,2019-06-26 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1364,Bullseye,2020-12-12 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1365,Doormart,2019-10-26 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,200,12638
1366,Nile.com,2021-08-28 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1367,Priceco,2020-05-27 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1368,Walblues,2021-09-02 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
1369,J-Mart,2020-02-10 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,10,149.1
1370,Bullseye,2020-01-26 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,50,745.5
1371,Doormart,2020-10-14 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
1372,Nile.com,2019-09-17 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,10,35.5
1373,Priceco,2021-12-19 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1374,Walblues,2021-03-06 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
1375,J-Mart,2020-01-17 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,50,177.5
1376,Bullseye,2019-02-25 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1377,Doormart,2021-02-21 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1378,Nile.com,2019-08-26 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1379,Priceco,2020-06-29 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1380,Walblues,2021-01-16 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1381,J-Mart,2019-10-21 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,50,745.5
1382,Bullseye,2019-07-12 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,50,177.5
1383,Doormart,2021-01-23 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1384,Nile.com,2021-05-18 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
1385,Priceco,2021-10-07 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1386,Walblues,2020-09-12 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
1387,J-Mart,2020-10-17 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1388,Bullseye,2021-06-15 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
1389,Doormart,2021-06-25 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1390,Nile.com,2021-01-02 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
1391,Priceco,2019-07-30 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1392,Walblues,2019-08-22 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1393,J-Mart,2019-01-20 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
1394,Bullseye,2021-07-06 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1395,Doormart,2020-10-01 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
1396,Nile.com,2020-05-30 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
1397,Priceco,2020-04-28 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
1398,Walblues,2020-05-15 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
1399,J-Mart,2020-08-05 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1400,Bullseye,2019-05-03 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1401,Doormart,2020-10-12 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
1402,Nile.com,2020-09-28 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1403,Priceco,2021-09-16 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,100,1491
1404,Walblues,2020-05-25 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1405,J-Mart,2021-02-25 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
1406,Bullseye,2019-11-04 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1407,Doormart,2019-09-05 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,200,12638
1408,Nile.com,2021-02-22 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,200,710
1409,Priceco,2021-03-25 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1410,Walblues,2020-08-28 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1411,J-Mart,2021-09-08 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1412,Bullseye,2020-12-10 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
1413,Doormart,2019-12-30 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
1414,Nile.com,2020-06-28 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
1415,Priceco,2020-07-16 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
1416,Walblues,2019-08-27 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
1417,J-Mart,2020-08-09 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1418,Bullseye,2019-11-05 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,100,6319
1419,Doormart,2019-11-29 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,200,710
1420,Nile.com,2020-02-04 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1421,Priceco,2019-06-03 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
1422,Walblues,2021-09-10 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
1423,J-Mart,2019-09-25 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1424,Bullseye,2021-02-24 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1425,Doormart,2020-05-21 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1426,Nile.com,2019-07-23 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1427,Priceco,2020-10-13 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
1428,Walblues,2020-12-30 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
1429,J-Mart,2020-09-26 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,50,106.5
1430,Bullseye,2019-02-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1431,Doormart,2020-03-29 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
1432,Nile.com,2020-08-01 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1433,Priceco,2021-11-17 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
1434,Walblues,2019-01-12 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
1435,J-Mart,2020-10-28 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
1436,Bullseye,2020-08-03 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
1437,Doormart,2020-06-14 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,200,12638
1438,Nile.com,2019-11-29 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1439,Priceco,2019-05-07 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1440,Walblues,2021-10-04 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
1441,J-Mart,2021-02-04 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
1442,Bullseye,2021-01-31 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
1443,Doormart,2021-10-14 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1444,Nile.com,2019-11-11 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,200,12638
1445,Priceco,2020-10-28 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1446,Walblues,2020-01-16 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
1447,J-Mart,2021-06-15 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1448,Bullseye,2021-09-06 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
1449,Doormart,2021-07-20 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
1450,Nile.com,2020-01-15 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
1451,Priceco,2019-09-12 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
1452,Walblues,2021-05-25 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1453,J-Mart,2020-09-09 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
1454,Bullseye,2021-05-02 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
1455,Doormart,2019-12-25 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,200,12638
1456,Nile.com,2021-02-04 08:00:00 UTC,Microscope,Odd Equipment,102.24,10,1022.4
1457,Priceco,2020-05-11 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1458,Walblues,2020-10-04 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
1459,J-Mart,2020-12-04 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,10,35.5
1460,Bullseye,2021-01-16 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
1461,Doormart,2021-09-23 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
1462,Nile.com,2019-05-28 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,50,106.5
1463,Priceco,2019-01-04 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
1464,Walblues,2020-01-31 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
1465,J-Mart,2019-06-11 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
1466,Bullseye,2021-09-10 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
1467,Doormart,2019-12-29 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
